;bild.txt;faz.txt;sz.txt;taz.txt;welt.txt;zeit.txt
33;('getöteten', 0.000872856141765);('zdk', 0.000923621662176);('hauptstraße', 0.000856078806315);('stark', 0.001054405488325);('möglich', 0.000892371424039);('zeichen', 0.00096604748651)
34;('beine', 0.000872856141765);('gdp', 0.000923621662176);('sticht', 0.000856078806315);('widerstand', 0.001054405488325);('gewahrsam', 0.000892371424039);('mikrofon', 0.00096604748651)
35;('ursula', 0.000872856141765);('stadtjubiläums', 0.000923621662176);('spur', 0.000856078806315);('rechtsextreme', 0.001054405488325);('hieß', 0.000892371424039);('beitrag', 0.00096604748651)
36;('traue', 0.000872856141765);('denjenigen', 0.000923621662176);('verdächtigen', 0.000856078806315);('förster', 0.001054405488325);('hinweisportal', 0.000892371424039);('verstecken', 0.00096604748651)
37;('tagsüber', 0.000872856141765);('gottesdienstbesucher', 0.000923621662176);('ja', 0.000856078806315);('nebeneingang', 0.001054405488325);('nie', 0.000892371424039);('festivitäten', 0.00096604748651)
38;('durchnässt', 0.000872856141765);('polarisieren', 0.000923621662176);('amaq', 0.000856078806315);('trauernden', 0.001054405488325);('tödlichen', 0.000892371424039);('situationen', 0.00096604748651)
39;('bürgerkriegsland', 0.000872856141765);('vorerkenntnisse', 0.000923621662176);('hass', 0.000856078806315);('medaille', 0.001054405488325);('handeln', 0.000750698243551);('ehrenamtlich', 0.00096604748651)
40;('subsidiärer', 0.000872856141765);('asylunterkunft', 0.000923621662176);('kontakt', 0.000856078806315);('n', 0.001054405488325);('tatverdächtige', 0.000750698243551);('bürger', 0.00096604748651)
41;('asylheim', 0.000872856141765);('gefundene', 0.000923621662176);('schon', 0.000737224170688);('böse', 0.001054405488325);('welt', 0.000740472999198);('umso', 0.00096604748651)
42;('jubiläumsfest', 0.000872856141765);('wohl', 0.000923621662176);('islamischen', 0.000720167453742);('kerze', 0.001054405488325);('besucher', 0.000658695482752);('erhalte', 0.00096604748651)
43;('willkürlich', 0.000872856141765);('überstellt', 0.000923621662176);('lebte', 0.000720167453742);('leere', 0.001054405488325);('abgeschoben', 0.000658695482752);('wünscht', 0.00096604748651)
44;('generalstaatsanwaltschaft', 0.000872856141765);('festgenommener', 0.000923621662176);('wirklich', 0.000720167453742);('miteinander', 0.001054405488325);('einzeltäter', 0.000594914282693);('rechte', 0.00096604748651)
45;('oberste', 0.000872856141765);('begrenzung', 0.000923621662176);('meter', 0.000631906432018);('asylrecht', 0.001054405488325);('täterbeschreibung', 0.000594914282693);('demonstranten', 0.00096604748651)
46;('erkennen', 0.000872856141765);('zuwanderung', 0.000923621662176);('ermittler', 0.000631906432018);('tobt', 0.001054405488325);('zeitung', 0.000594914282693);('mahnmal', 0.00096604748651)
47;('tödliche', 0.000872856141765);('grenzen', 0.000923621662176);('nordrhein-westfälischen', 0.00057071920421);('schule', 0.001054405488325);('jugendlichen', 0.000594914282693);('asmahan', 0.00096604748651)
48;('beansprucht', 0.000872856141765);('reklamierte', 0.000923621662176);('wahrscheinlich', 0.00057071920421);('verpisst', 0.001054405488325);('augenzeugen', 0.000594914282693);('badawi', 0.00096604748651)
49;('messer-terrorist', 0.000872856141765);('jens', 0.000923621662176);('schreibt', 0.00057071920421);('demons', 0.001054405488325);('erklärte', 0.000594914282693);('zentrum', 0.00096604748651)
