;bild1.txt;bild2.txt;bild3.txt;bild4.txt;bild5.txt;bild6.txt;bild7.txt;bild8.txt;faz1.txt;faz2.txt;faz3.txt;faz4.txt;sz1.txt;sz2.txt;sz3.txt;taz1.txt;taz2.txt;taz3.txt;welt1.txt;welt2.txt;welt3.txt;welt4.txt;zeit1.txt;zeit2.txt;zeit3.txt
29;('laufen', 0.004598486870632);('erfüllten', 0.004568431400889);('offenbar', 0.005998182080971);('schreckliches', 0.006383287710831);('issa', 0.008356577894855);('saß', 0.006104541522585);('liefen', 0.006819219554498);('dauerten', 0.006158326029392);('schreckliche', 0.003937859179358);('gotteshaus', 0.006131315827509);('hinfällig', 0.003720479813949);('buschmann', 0.004606062631539);('umgangsverbot', 0.004738779690414);('gebäude', 0.002646030902162);('stellten', 0.00419801804406);('kämpft', 0.002818427436839);('ziel', 0.009574931566247);('gluch', 0.003352374121515);('staatsanwaltschaft', 0.002410241394262);('ez-zor', 0.007205876333361);('bewahren', 0.004040289042405);('behörden', 0.0034267064173);('technik', 0.002768198036974);('wollten', 0.002734982877471);('hause', 0.003514575396765)
30;('spurensicherung', 0.004598486870632);('mindestens', 0.004568431400889);('terror', 0.005580719720923);('gerettet', 0.006383287710831);('abgeschoben', 0.007732031588751);('hummel', 0.006104541522585);('durcheinander', 0.006819219554498);('vertrauliches', 0.006158326029392);('abgelegt', 0.003937859179358);('malteser', 0.006131315827509);('brauchen', 0.003720479813949);('asylpolitik', 0.004606062631539);('innenstadt', 0.004322152713551);('bühne', 0.002549985627774);('spiegel-bericht', 0.00419801804406);('wachsende', 0.002818427436839);('entzweien', 0.009574931566247);('raum', 0.003352374121515);('liegen', 0.002410241394262);('geborene', 0.007205876333361);('aufzuklären', 0.004040289042405);('tief', 0.003288760402249);('gestohlen', 0.002768198036974);('suchen', 0.002734982877471);('etwa', 0.003387003810937)
31;('zeugenbefragungen', 0.004598486870632);('bewaffneter', 0.004568431400889);('volksfest', 0.005580719720923);('gesetz', 0.006383287710831);('offenbar', 0.007732031588751);('anflug', 0.006104541522585);('brachen', 0.006819219554498);('polizeipapier', 0.006158326029392);('gotteshäuser', 0.003937859179358);('roten', 0.006131315827509);('islamistischen', 0.003720479813949);('bund', 0.004606062631539);('hätten', 0.004201957683311);('fronhof', 0.002442595882179);('dna-spuren', 0.00419801804406);('schild', 0.002818427436839);('kranke', 0.009574931566247);('unterkunft', 0.003352374121515);('feiern', 0.002410241394262);('flüchtlingsheim', 0.007205876333361);('56-jährige', 0.004040289042405);('nieder', 0.003288760402249);('erster', 0.002768198036974);('zeigt', 0.002734982877471);('längst', 0.003037709989863)
32;('abgesperrten', 0.004598486870632);('650-jährigen', 0.004568431400889);('bild-informationen', 0.005580719720923);('durchgesetzt', 0.006383287710831);('solingen-attentäter', 0.007193896515253);('feuerwache', 0.006104541522585);('zeigte', 0.006819219554498);('bezieht', 0.006158326029392);('stadtpfarrer', 0.003937859179358);('kreuzes', 0.006131315827509);('behörde', 0.003720479813949);('roßkopf', 0.004606062631539);('schock', 0.004201957683311);('meter', 0.002374669571986);('mannes', 0.00419801804406);('ausgelassenen', 0.002818427436839);('legitimieren', 0.009574931566247);('23-jährige', 0.003352374121515);('zustand', 0.002410241394261);('vorgeworfenen', 0.007205876333361);('stufte', 0.004040289042405);('passieren', 0.003288760402249);('selbstständiger', 0.002768198036974);('band', 0.002734982877471);('damals', 0.003037709989863)
33;('kreiste', 0.004598486870632);('jahrestags', 0.004568431400889);('durfte', 0.005580719720923);('vorgegangen', 0.006383287710831);('bild-informationen', 0.007193896515253);('bundesanwaltschaft', 0.006104541522585);('genähte', 0.006819219554498);('stadt-anzeiger', 0.006158326029392);('schildert', 0.003937859179358);('kommunalpolitiker', 0.006131315827509);('reul', 0.003560977395872);('behörden', 0.004553887715468);('nordrhein-westfalen', 0.003748081143442);('zuvor', 0.002374669571986);('gegriffen', 0.00419801804406);('missbraucht', 0.002818427436839);('linksradikale', 0.009574931566247);('demonstrant', 0.003352374121515);('neues', 0.002410241394261);('keinerlei', 0.007205876333361);('schließen', 0.004040289042405);('zudem', 0.003288760402249);('securityunternehmer', 0.002768198036974);('konnten', 0.002734982877471);('brandanschlag', 0.003037709989863)
34;('sek-einheiten', 0.004598486870632);('ermordete', 0.004568431400889);('bundesrepublik', 0.005580719720923);('abfinden', 0.006383287710831);('asylsuchende', 0.007193896515253);('übernahm', 0.006104541522585);('glücklich', 0.006819219554498);('dienstag-ausgabe', 0.006158326029392);('ohnmacht', 0.003937859179358);('nächster', 0.006131315827509);('innenminister', 0.003350557385805);('fordert', 0.004550998783949);('besucher', 0.003748081143442);('samstagmorgen', 0.002374669571986);('tatmotiv', 0.00419801804406);('jubiläum', 0.002818427436839);('christliche', 0.009574931566247);('gedankengut', 0.003352374121515);('versuche', 0.002410241394261);('vorstrafen', 0.007205876333361);('entsandt', 0.004040289042405);('flüchtlinge', 0.003288760402249);('geraucht', 0.002768198036974);('solingens', 0.002734982877471);('mensch', 0.003037709989863)
35;('spezialfahrzeugen', 0.004598486870632);('gräueltat', 0.004568431400889);('terror-organisation', 0.005580719720923);('düsseldorf', 0.00566017130857);('subsidiären', 0.007193896515253);('deutschlands', 0.006104541522585);('ausbildung', 0.006819219554498);('sicherheitskreise', 0.006158326029392);('beschreibt', 0.003937859179358);('geschrieben', 0.006131315827509);('verdächtige', 0.003350557385805);('h', 0.004084275178177);('demnach', 0.003748081143442);('stunden', 0.002287011544092);('festgenommene', 0.00419801804406);('bandauftritts', 0.002818427436839);('jüdische', 0.009574931566247);('ermordeten', 0.003352374121515);('zeugen-', 0.002410241394261);('dato', 0.007205876333361);('verfahrens', 0.004040289042405);('land', 0.002946672095155);('erzählt', 0.002768198036974);('wissen', 0.002734982877471);('geben', 0.003037709989863)
36;('fuhren', 0.004598486870632);('unzählige', 0.004568431400889);('gestürmt', 0.005580719720923);('ganzen', 0.00566017130857);('fanden', 0.007193896515253);('brachte', 0.006104541522585);('sitzt', 0.006819219554498);('wasserschadens', 0.006158326029392);('notfall-', 0.003937859179358);('ilka', 0.006131315827509);('bekannt', 0.003350557385805);('abgeschoben', 0.004076194577266);('angegriffen', 0.003718339027146);('geschehen', 0.002287011544092);('bundesanwaltschaft', 0.00419801804406);('ergriff', 0.002818427436839);('rest', 0.009574931566247);('kirchplatz', 0.003312297676087);('geschädigten-vernehmungen', 0.002410241394261);('extremismus-verdacht', 0.007205876333361);('komme', 0.004040289042405);('tage', 0.002888305803042);('benachbarten', 0.002768198036974);('abend', 0.002550773307629);('kinder', 0.003037709989863)
37;('straßenkreuzungen', 0.004598486870632);('bewohner', 0.004568431400889);('ard', 0.005580719720923);('teilte', 0.005048785101897);('bergischen', 0.007193896515253);('polizeirevier', 0.006104541522585);('u-haft', 0.006819219554498);('überprüfbar', 0.006158326029392);('polizeiseelsorgern', 0.003937859179358);('geschleudert', 0.006131315827509);('syrer', 0.003219785481055);('abschiebungen', 0.003933509146676);('großeinsatz', 0.003718339027146);('staats', 0.002101360178177);('islamischen', 0.00419801804406);('warf', 0.002818427436839);('entschiedenes', 0.009574931566247);('unserer', 0.003312297676087);('amoklage', 0.002410241394261);('gesuchte', 0.007205876333361);('betracht', 0.004040289042405);('olaf', 0.002888305803042);('blutverschmiert', 0.002768198036974);('entat', 0.002401958777787);('natürlich', 0.003037709989863)
38;('häusern', 0.004598486870632);('tot', 0.004568431400889);('beweisstücke', 0.005580719720923);('oberste', 0.005008721520585);('entkam', 0.007193896515253);('karlsruhe-west', 0.006104541522585);('blutverschmierter', 0.006819219554498);('getrocknet', 0.006158326029392);('melden', 0.003937859179358);('vermochte', 0.006131315827509);('nordrhein-westfalens', 0.003215676837754);('flüchtlinge', 0.003933509146676);('möglichen', 0.003718339027146);('dezember', 0.002101360178177);('gehandelt', 0.00419801804406);('bemerkt', 0.002818427436839);('nein', 0.009574931566247);('entfernt', 0.002972607953421);('niemand', 0.002410241394261);('verbrachte', 0.007205876333361);('terror-hinweise', 0.004040289042405);('tödlichen', 0.002888305803042);('geschrien', 0.002768198036974);('müllers', 0.002401958777787);('kommt', 0.002833110811146)
